volume,part,chapter,value,emphasis,keywords,keytokens,emotionwords
Том второй,Часть первая,I,66,"Старик Михайло спал на ларе. Прокофий, выездной лакей, тот, который был так силен, что за задок поднимал карету, сидел и вязал из покромок лапти. Он взглянул на отворившуюся дверь, и равнодушное, сонное выражение его вдруг преобразилось в ВОСТОРЖЕННО-испуганное.",восторженно,восторженно,восторг
Том второй,Часть первая,I,66,"Ростов, забыв совершенно о Денисове, не желая никому дать предупредить себя, скинул шубу и на цыпочках побежал в темную большую залу. Все то же — те же ломберные столы, та же люстра в чехле; но кто-то уж видел молодого барина, и не успел он добежать до гостиной, как что-то стремительно, как буря, вылетело из боковой двери и обняло и стало целовать его. Еще другое, третье такое же существо выскочило из другой, третьей двери; еще объятия, еще поцелуи, еще крики, слезы РАДОСТИ. Он не мог разобрать, где и кто папа, кто Наташа, кто Петя. Все кричали, говорили и целовали его в одно и то же время. Только матери не было в числе их — это он помнил.",радость,радости,радость
Том второй,Часть первая,I,66,"Со всех сторон были блестящие слезами РАДОСТИ любящие глаза, со всех сторон были губы, искавшие поцелуя.",радость,радости,радость
Том второй,Часть первая,I,66,"Соня, красная, как кумач, тоже держалась за его руку и вся сияла в блаженном взгляде, устремленном в его глаза, которых она ждала. Соне минуло уже шестнадцать лет, и она была очень красива, особенно в эту минуту СЧАСТЛИВОГО, восторженного оживления. Она смотрела на него, не спуская глаз, улыбаясь и задерживая дыхание. Он благодарно взглянул на нее; но все еще ждал и искал кого-то. Старая графиня еще не выходила. И вот послышались шаги в дверях. Шаги такие быстрые, что это не могли быть шаги его матери.",счастливый,счастливого,счастье
Том второй,Часть первая,I,66,"Соня, красная, как кумач, тоже держалась за его руку и вся сияла в блаженном взгляде, устремленном в его глаза, которых она ждала. Соне минуло уже шестнадцать лет, и она была очень красива, особенно в эту минуту СЧАСТЛИВОГО, восторженного оживления. Она смотрела на него, не спуская глаз, улыбаясь и задерживая дыхание. Он благодарно взглянул на нее; но все еще ждал и искал кого-то. Старая графиня еще не выходила. И вот послышались шаги в дверях. Шаги такие быстрые, что это не могли быть шаги его матери.",счастливый,счастливого,счастье
Том второй,Часть первая,I,66,"Соня, красная, как кумач, тоже держалась за его руку и вся сияла в блаженном взгляде, устремленном в его глаза, которых она ждала. Соне минуло уже шестнадцать лет, и она была очень красива, особенно в эту минуту счастливого, ВОСТОРЖЕННОГО оживления. Она смотрела на него, не спуская глаз, улыбаясь и задерживая дыхание. Он благодарно взглянул на нее; но все еще ждал и искал кого-то. Старая графиня еще не выходила. И вот послышались шаги в дверях. Шаги такие быстрые, что это не могли быть шаги его матери.",восторженный,восторженного,восторг
Том второй,Часть первая,I,66,"Те же СЧАСТЛИВЫЕ, восторженные лица обратились на мохнатую черноусую фигурку Денисова и окружили его.",счастливый,счастливые,счастье
Том второй,Часть первая,I,66,"Те же СЧАСТЛИВЫЕ, восторженные лица обратились на мохнатую черноусую фигурку Денисова и окружили его.",счастливый,счастливые,счастье
Том второй,Часть первая,I,66,"Те же счастливые, ВОСТОРЖЕННЫЕ лица обратились на мохнатую черноусую фигурку Денисова и окружили его.",восторженный,восторженные,восторг
Том второй,Часть первая,I,66,"— Голубчик, Денисов! — взвизгнула Наташа, не помнившая себя от ВОСТОРГА, подскочила к нему, обняла и поцеловала его. Все смутились поступком Наташи. Денисов тоже покраснел, но улыбнулся и, взяв руку Наташи, поцеловал ее.",восторг,восторга,восторг
Том второй,Часть первая,I,66,"Старая графиня, не выпуская его руки, которую она всякую минуту целовала, сидела с ним рядом; остальные, столпившись вокруг них, ловили каждое его движенье, слово, взгляд и не спускали с него ВОСТОРЖЕННО-влюбленных глаз. Брат и сестры спорили, и перехватывали места друг у друга поближе к нему, и дрались за то, кому принести ему чай, платок, трубку.",восторженно,восторженно,восторг
Том второй,Часть первая,I,66,"Ростов был очень счастлив любовью, которую ему выказывали; но первая минута его встречи была так блаженна, что теперешнего его СЧАСТИЯ ему казалось мало, и он все ждал чего-то еще, и еще, и еще.",счастие,счастия,счастье
Том второй,Часть первая,I,66,"Ростов был очень СЧАСТЛИВ любовью, которую ему выказывали; но первая минута его встречи была так блаженна, что теперешнего его счастия ему казалось мало, и он все ждал чего-то еще, и еще, и еще.",счастливый,счастлив,счастье
Том второй,Часть первая,I,66,"Ростов был очень счастлив любовью, которую ему выказывали; но первая минута его встречи была так блаженна, что теперешнего его СЧАСТИЯ ему казалось мало, и он все ждал чего-то еще, и еще, и еще.",счастие,счастия,счастье
Том второй,Часть первая,I,66,"Ростов был очень СЧАСТЛИВ любовью, которую ему выказывали; но первая минута его встречи была так блаженна, что теперешнего его счастия ему казалось мало, и он все ждал чего-то еще, и еще, и еще.",счастливый,счастлив,счастье
Том второй,Часть первая,I,66,"В это время Петя в первой комнате, увидав и схватив сабли и испытывая тот ВОСТОРГ, который испытывают мальчики при виде воинственного старшего брата, забыв, что сестрам неприлично видеть раздетых мужчин, отворил дверь.",восторг,восторг,восторг
Том второй,Часть первая,I,66,"Ростов поспешно обулся, надел халат и вышел. Наташа надела один сапог со шпорой и влезала в другой. Соня кружилась и только что хотела раздуть платье и присесть, когда он вышел. Обе были в одинаковых, новеньких, голубых платьях — свежие, румяные, веселые. Соня убежала, а Наташа, взяв брата под руку, повела его в диванную, и у них начался разговор. Они не успевали спрашивать друг друга и отвечать на вопросы о тысячах мелочей, которые могли интересовать только их одних. Наташа смеялась при всяком слове, которое он говорил и которое она говорила, не потому, что было смешно то, что они говорили, но потому, что ей было весело и она не в силах была удерживать своей РАДОСТИ, выражавшейся смехом.",радость,радости,радость
Том второй,Часть первая,I,66,"— Нет, послушай, — сказала она, — ты теперь совсем мужчина? Я ужасно РАДА, что ты мой брат. — Она тронула его усы. — Мне хочется знать, какие вы, мужчины? Такие ли, как мы?",рад,рада,радость
Том второй,Часть первая,I,66,"— Я ни в чем не беру назад своего слова, — сказал он. — И потом, Соня такая прелесть, что какой же дурак станет отказываться от своего СЧАСТИЯ?",счастие,счастия,счастье
Том второй,Часть первая,I,66,"— Я ни в чем не беру назад своего слова, — сказал он. — И потом, Соня такая прелесть, что какой же дурак станет отказываться от своего СЧАСТИЯ?",счастие,счастия,счастье
Том второй,Часть первая,I,66,"Ростов видел, что все это было хорошо придумано ими. Соня и вчера поразила его своей красотой. Нынче, увидав ее мельком, она ему показалась еще лучше. Она была прелестная шестнадцатилетняя девочка, очевидно, страстно его любящая (в этом он не сомневался ни на минуту). Отчего же ему было не любить ее и не жениться даже, думал Ростов, но не теперь. Теперь столько еще других РАДОСТЕЙ и занятий! «Да, они это прекрасно придумали, — подумал он, — надо оставаться свободным».",радость,радостей,радость
Том второй,Часть первая,I,66,"— Ну и прекрасно, — сказал он, — после поговорим. Ах, как я тебе РАД! — прибавил он. — Ну, а что же ты, Борису не изменила? — спросил брат.",рад,рад,радость
Том второй,Часть первая,I,66,"— Я? — переспросила Наташа, и СЧАСТЛИВАЯ улыбка осветила ее лицо. — Ты видел Duport'a?",счастливый,счастливая,счастье
